time,phase,cash,shares,short_calls,option_ric,strike,expiry,stock_mark,option_mark,lmv,option_mv,nav,initial,maintenance,available,excess,mark_status,benchmark_nav
2026-08-11T17:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,306.236,2.23,30623.6,-223.0,28472.6,15311.8,7655.9,13160.8,20816.699999999997,observed,28716.1
2026-08-11T18:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,306.02,2.19,30602.0,-219.0,28455.0,15301.0,7650.5,13154.0,20804.5,observed,28694.5
2026-08-11T19:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,304.348,1.56,30434.800000000003,-156.0,28350.800000000003,15217.400000000001,7608.700000000001,13133.400000000001,20742.100000000002,observed,28527.300000000003
2026-08-11T20:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,304.91,1.73,30491.000000000004,-173.0,28390.000000000004,15245.500000000002,7622.750000000001,13144.500000000002,20767.250000000004,observed,28583.500000000004
2026-08-12T14:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,303.37,0.95,30337.0,-95.0,28314.0,15168.5,7584.25,13145.5,20729.75,observed,28429.5
2026-08-12T15:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,302.442,0.71,30244.2,-71.0,28245.2,15122.1,7561.05,13123.1,20684.15,observed,28336.7
2026-08-12T16:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,301.18,0.52,30118.0,-52.0,28138.0,15059.0,7529.5,13079.0,20608.5,observed,28210.5
2026-08-12T17:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,302.165,0.65,30216.500000000004,-65.0,28223.500000000004,15108.250000000002,7554.125000000001,13115.250000000002,20669.375000000004,observed,28309.000000000004
2026-08-12T18:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,301.505,0.565,30150.5,-56.49999999999999,28166.0,15075.25,7537.625,13090.75,20628.375,observed,28243.0
2026-08-12T19:00:00Z,hourly,-1928.0,100,1,AAPLH142630750.U^H26,307.5,2026-08-14,301.416,0.54,30141.6,-54.0,28159.6,15070.8,7535.4,13088.8,20624.199999999997,observed,28234.100000000002
